Feature,Midle,Turned,Value
kyverno_io_v1_ClusterPolicy_spec_rules_match_any_resources_name,ClusterPolicy,name,
kyverno_io_v1_ClusterPolicy_spec_rules_match_any_resources_names,ClusterPolicy,names,-
kyverno_io_v1_ClusterPolicy_spec_rules_match_any_resources_names_StringValue,ClusterPolicy,StringValue,
kyverno_io_v1_ClusterPolicy_spec_rules_match_any_resources_namespaceSelector,ClusterPolicy,namespaceSelector,
kyverno_io_v1_ClusterPolicy_spec_rules_match_any_resources_namespaceSelector_matchExpressions,ClusterPolicy,matchExpressions,-
kyverno_io_v1_ClusterPolicy_spec_rules_match_any_resources_namespaceSelector_matchExpressions_key,ClusterPolicy,key,
kyverno_io_v1_ClusterPolicy_spec_rules_match_any_resources_namespaceSelector_matchExpressions_operator,ClusterPolicy,operator,
kyverno_io_v1_ClusterPolicy_spec_rules_match_any_resources_namespaceSelector_matchExpressions_values,ClusterPolicy,values,-
kyverno_io_v1_ClusterPolicy_spec_rules_match_any_resources_namespaceSelector_matchExpressions_values_StringValue,ClusterPolicy,StringValue,
kyverno_io_v1_ClusterPolicy_spec_rules_match_any_resources_namespaceSelector_matchLabels,ClusterPolicy,matchLabels,
kyverno_io_v1_ClusterPolicy_spec_rules_match_any_resources_namespaces,ClusterPolicy,namespaces,-
kyverno_io_v1_ClusterPolicy_spec_rules_match_any_resources_namespaces_StringValue,ClusterPolicy,StringValue,
kyverno_io_v1_ClusterPolicy_spec_rules_match_any_resources_operations,ClusterPolicy,operations,-
kyverno_io_v1_ClusterPolicy_spec_rules_match_any_resources_operations_CREATE,ClusterPolicy,CREATE,
kyverno_io_v1_ClusterPolicy_spec_rules_match_any_resources_operations_CONNECT,ClusterPolicy,CONNECT,
kyverno_io_v1_ClusterPolicy_spec_rules_match_any_resources_operations_UPDATE,ClusterPolicy,UPDATE,
kyverno_io_v1_ClusterPolicy_spec_rules_match_any_resources_operations_DELETE,ClusterPolicy,DELETE,
kyverno_io_v1_ClusterPolicy_spec_rules_match_any_resources_selector,ClusterPolicy,selector,
kyverno_io_v1_ClusterPolicy_spec_rules_match_any_resources_selector_matchExpressions,ClusterPolicy,matchExpressions,-
kyverno_io_v1_ClusterPolicy_spec_rules_match_any_resources_selector_matchExpressions_key,ClusterPolicy,key,
kyverno_io_v1_ClusterPolicy_spec_rules_match_any_resources_selector_matchExpressions_operator,ClusterPolicy,operator,
kyverno_io_v1_ClusterPolicy_spec_rules_match_any_resources_selector_matchExpressions_values,ClusterPolicy,values,-
kyverno_io_v1_ClusterPolicy_spec_rules_match_any_resources_selector_matchExpressions_values_StringValue,ClusterPolicy,StringValue,
kyverno_io_v1_ClusterPolicy_spec_rules_match_any_resources_selector_matchLabels,ClusterPolicy,matchLabels,
kyverno_io_v1_ClusterPolicy_spec_rules_match_any_roles,ClusterPolicy,roles,-
kyverno_io_v1_ClusterPolicy_spec_rules_match_any_roles_StringValue,ClusterPolicy,StringValue,
kyverno_io_v1_ClusterPolicy_spec_rules_match_any_subjects,ClusterPolicy,subjects,-
kyverno_io_v1_ClusterPolicy_spec_rules_match_any_subjects_kind,ClusterPolicy,kind,
kyverno_io_v1_ClusterPolicy_spec_rules_match_any_subjects_name,ClusterPolicy,name,
kyverno_io_v1_ClusterPolicy_spec_rules_match_any_subjects_apiGroup,ClusterPolicy,apiGroup,
kyverno_io_v1_ClusterPolicy_spec_rules_match_any_subjects_namespace,ClusterPolicy,namespace,
