Feature,Midle,Turned,Value
kyverno_io_v1_ClusterPolicy_spec_rules_exclude,ClusterPolicy,exclude,
kyverno_io_v1_ClusterPolicy_spec_rules_exclude_all,ClusterPolicy,all,-
kyverno_io_v1_ClusterPolicy_spec_rules_exclude_all_clusterRoles,ClusterPolicy,clusterRoles,-
kyverno_io_v1_ClusterPolicy_spec_rules_exclude_all_clusterRoles_StringValue,ClusterPolicy,StringValue,
kyverno_io_v1_ClusterPolicy_spec_rules_exclude_all_resources,ClusterPolicy,resources,
kyverno_io_v1_ClusterPolicy_spec_rules_exclude_all_resources_annotations,ClusterPolicy,annotations,
kyverno_io_v1_ClusterPolicy_spec_rules_exclude_all_resources_kinds,ClusterPolicy,kinds,-
kyverno_io_v1_ClusterPolicy_spec_rules_exclude_all_resources_kinds_StringValue,ClusterPolicy,StringValue,
kyverno_io_v1_ClusterPolicy_spec_rules_exclude_all_resources_name,ClusterPolicy,name,
kyverno_io_v1_ClusterPolicy_spec_rules_exclude_all_resources_names,ClusterPolicy,names,-
kyverno_io_v1_ClusterPolicy_spec_rules_exclude_all_resources_names_StringValue,ClusterPolicy,StringValue,
kyverno_io_v1_ClusterPolicy_spec_rules_exclude_all_resources_namespaceSelector,ClusterPolicy,namespaceSelector,
kyverno_io_v1_ClusterPolicy_spec_rules_exclude_all_resources_namespaceSelector_matchExpressions,ClusterPolicy,matchExpressions,-
kyverno_io_v1_ClusterPolicy_spec_rules_exclude_all_resources_namespaceSelector_matchExpressions_key,ClusterPolicy,key,
kyverno_io_v1_ClusterPolicy_spec_rules_exclude_all_resources_namespaceSelector_matchExpressions_operator,ClusterPolicy,operator,
kyverno_io_v1_ClusterPolicy_spec_rules_exclude_all_resources_namespaceSelector_matchExpressions_values,ClusterPolicy,values,-
kyverno_io_v1_ClusterPolicy_spec_rules_exclude_all_resources_namespaceSelector_matchExpressions_values_StringValue,ClusterPolicy,StringValue,
kyverno_io_v1_ClusterPolicy_spec_rules_exclude_all_resources_namespaceSelector_matchLabels,ClusterPolicy,matchLabels,
kyverno_io_v1_ClusterPolicy_spec_rules_exclude_all_resources_namespaces,ClusterPolicy,namespaces,-
kyverno_io_v1_ClusterPolicy_spec_rules_exclude_all_resources_namespaces_StringValue,ClusterPolicy,StringValue,
kyverno_io_v1_ClusterPolicy_spec_rules_exclude_all_resources_operations,ClusterPolicy,operations,-
kyverno_io_v1_ClusterPolicy_spec_rules_exclude_all_resources_operations_CREATE,ClusterPolicy,CREATE,
kyverno_io_v1_ClusterPolicy_spec_rules_exclude_all_resources_operations_CONNECT,ClusterPolicy,CONNECT,
kyverno_io_v1_ClusterPolicy_spec_rules_exclude_all_resources_operations_UPDATE,ClusterPolicy,UPDATE,
kyverno_io_v1_ClusterPolicy_spec_rules_exclude_all_resources_operations_DELETE,ClusterPolicy,DELETE,
kyverno_io_v1_ClusterPolicy_spec_rules_exclude_all_resources_selector,ClusterPolicy,selector,
kyverno_io_v1_ClusterPolicy_spec_rules_exclude_all_resources_selector_matchExpressions,ClusterPolicy,matchExpressions,-
kyverno_io_v1_ClusterPolicy_spec_rules_exclude_all_resources_selector_matchExpressions_key,ClusterPolicy,key,
kyverno_io_v1_ClusterPolicy_spec_rules_exclude_all_resources_selector_matchExpressions_operator,ClusterPolicy,operator,
kyverno_io_v1_ClusterPolicy_spec_rules_exclude_all_resources_selector_matchExpressions_values,ClusterPolicy,values,-
kyverno_io_v1_ClusterPolicy_spec_rules_exclude_all_resources_selector_matchExpressions_values_StringValue,ClusterPolicy,StringValue,
kyverno_io_v1_ClusterPolicy_spec_rules_exclude_all_resources_selector_matchLabels,ClusterPolicy,matchLabels,
kyverno_io_v1_ClusterPolicy_spec_rules_exclude_all_roles,ClusterPolicy,roles,-
kyverno_io_v1_ClusterPolicy_spec_rules_exclude_all_roles_StringValue,ClusterPolicy,StringValue,
kyverno_io_v1_ClusterPolicy_spec_rules_exclude_all_subjects,ClusterPolicy,subjects,-
kyverno_io_v1_ClusterPolicy_spec_rules_exclude_all_subjects_kind,ClusterPolicy,kind,
kyverno_io_v1_ClusterPolicy_spec_rules_exclude_all_subjects_name,ClusterPolicy,name,
kyverno_io_v1_ClusterPolicy_spec_rules_exclude_all_subjects_apiGroup,ClusterPolicy,apiGroup,
kyverno_io_v1_ClusterPolicy_spec_rules_exclude_all_subjects_namespace,ClusterPolicy,namespace,
kyverno_io_v1_ClusterPolicy_spec_rules_exclude_any,ClusterPolicy,any,-
kyverno_io_v1_ClusterPolicy_spec_rules_exclude_any_clusterRoles,ClusterPolicy,clusterRoles,-
kyverno_io_v1_ClusterPolicy_spec_rules_exclude_any_clusterRoles_StringValue,ClusterPolicy,StringValue,
kyverno_io_v1_ClusterPolicy_spec_rules_exclude_any_resources,ClusterPolicy,resources,
kyverno_io_v1_ClusterPolicy_spec_rules_exclude_any_resources_annotations,ClusterPolicy,annotations,
kyverno_io_v1_ClusterPolicy_spec_rules_exclude_any_resources_kinds,ClusterPolicy,kinds,-
kyverno_io_v1_ClusterPolicy_spec_rules_exclude_any_resources_kinds_StringValue,ClusterPolicy,StringValue,
kyverno_io_v1_ClusterPolicy_spec_rules_exclude_any_resources_name,ClusterPolicy,name,
kyverno_io_v1_ClusterPolicy_spec_rules_exclude_any_resources_names,ClusterPolicy,names,-
kyverno_io_v1_ClusterPolicy_spec_rules_exclude_any_resources_names_StringValue,ClusterPolicy,StringValue,
kyverno_io_v1_ClusterPolicy_spec_rules_exclude_any_resources_namespaceSelector,ClusterPolicy,namespaceSelector,
kyverno_io_v1_ClusterPolicy_spec_rules_exclude_any_resources_namespaceSelector_matchExpressions,ClusterPolicy,matchExpressions,-
kyverno_io_v1_ClusterPolicy_spec_rules_exclude_any_resources_namespaceSelector_matchExpressions_key,ClusterPolicy,key,
kyverno_io_v1_ClusterPolicy_spec_rules_exclude_any_resources_namespaceSelector_matchExpressions_operator,ClusterPolicy,operator,
kyverno_io_v1_ClusterPolicy_spec_rules_exclude_any_resources_namespaceSelector_matchExpressions_values,ClusterPolicy,values,-
kyverno_io_v1_ClusterPolicy_spec_rules_exclude_any_resources_namespaceSelector_matchExpressions_values_StringValue,ClusterPolicy,StringValue,
kyverno_io_v1_ClusterPolicy_spec_rules_exclude_any_resources_namespaceSelector_matchLabels,ClusterPolicy,matchLabels,
kyverno_io_v1_ClusterPolicy_spec_rules_exclude_any_resources_namespaces,ClusterPolicy,namespaces,-
kyverno_io_v1_ClusterPolicy_spec_rules_exclude_any_resources_namespaces_StringValue,ClusterPolicy,StringValue,
kyverno_io_v1_ClusterPolicy_spec_rules_exclude_any_resources_operations,ClusterPolicy,operations,-
kyverno_io_v1_ClusterPolicy_spec_rules_exclude_any_resources_operations_CREATE,ClusterPolicy,CREATE,
kyverno_io_v1_ClusterPolicy_spec_rules_exclude_any_resources_operations_CONNECT,ClusterPolicy,CONNECT,
kyverno_io_v1_ClusterPolicy_spec_rules_exclude_any_resources_operations_UPDATE,ClusterPolicy,UPDATE,
kyverno_io_v1_ClusterPolicy_spec_rules_exclude_any_resources_operations_DELETE,ClusterPolicy,DELETE,
kyverno_io_v1_ClusterPolicy_spec_rules_exclude_any_resources_selector,ClusterPolicy,selector,
kyverno_io_v1_ClusterPolicy_spec_rules_exclude_any_resources_selector_matchExpressions,ClusterPolicy,matchExpressions,-
kyverno_io_v1_ClusterPolicy_spec_rules_exclude_any_resources_selector_matchExpressions_key,ClusterPolicy,key,
kyverno_io_v1_ClusterPolicy_spec_rules_exclude_any_resources_selector_matchExpressions_operator,ClusterPolicy,operator,
kyverno_io_v1_ClusterPolicy_spec_rules_exclude_any_resources_selector_matchExpressions_values,ClusterPolicy,values,-
kyverno_io_v1_ClusterPolicy_spec_rules_exclude_any_resources_selector_matchExpressions_values_StringValue,ClusterPolicy,StringValue,
kyverno_io_v1_ClusterPolicy_spec_rules_exclude_any_resources_selector_matchLabels,ClusterPolicy,matchLabels,
kyverno_io_v1_ClusterPolicy_spec_rules_exclude_any_roles,ClusterPolicy,roles,-
kyverno_io_v1_ClusterPolicy_spec_rules_exclude_any_roles_StringValue,ClusterPolicy,StringValue,
kyverno_io_v1_ClusterPolicy_spec_rules_exclude_any_subjects,ClusterPolicy,subjects,-
kyverno_io_v1_ClusterPolicy_spec_rules_exclude_any_subjects_kind,ClusterPolicy,kind,
kyverno_io_v1_ClusterPolicy_spec_rules_exclude_any_subjects_name,ClusterPolicy,name,
kyverno_io_v1_ClusterPolicy_spec_rules_exclude_any_subjects_apiGroup,ClusterPolicy,apiGroup,
kyverno_io_v1_ClusterPolicy_spec_rules_exclude_any_subjects_namespace,ClusterPolicy,namespace,
kyverno_io_v1_ClusterPolicy_spec_rules_exclude_clusterRoles,ClusterPolicy,clusterRoles,-
kyverno_io_v1_ClusterPolicy_spec_rules_exclude_clusterRoles_StringValue,ClusterPolicy,StringValue,
kyverno_io_v1_ClusterPolicy_spec_rules_exclude_resources,ClusterPolicy,resources,
kyverno_io_v1_ClusterPolicy_spec_rules_exclude_resources_annotations,ClusterPolicy,annotations,
kyverno_io_v1_ClusterPolicy_spec_rules_exclude_resources_kinds,ClusterPolicy,kinds,-
kyverno_io_v1_ClusterPolicy_spec_rules_exclude_resources_kinds_StringValue,ClusterPolicy,StringValue,
kyverno_io_v1_ClusterPolicy_spec_rules_exclude_resources_name,ClusterPolicy,name,
kyverno_io_v1_ClusterPolicy_spec_rules_exclude_resources_names,ClusterPolicy,names,-
